no,Support given ,Date of support 
1,24000,17/08/2023
2,18000,17/08/2023
3,12000,17/08/2023
4,15000,17/08/2023
5,21000,17/08/2023
6,9000,05/12/2023
7,18000,05/12/2023
8,24000,05/12/2023
9,18000,05/12/2023
10,6000,05/12/2023
11,24000,05/12/2023
12,18000,05/12/2023
13,9000,05/12/2023
14,21000,05/12/2023
15,15000,05/12/2023
16,18000,05/12/2023
17,24000,05/12/2023
18,21000,05/12/2023
19,3000,05/12/2023
20,6000,05/12/2023
21,3000,05/12/2023
22,3000,05/12/2023
23,9000,05/12/2023
24,15000,05/12/2023
25,6000,05/12/2023
26,21000,05/12/2023
27,9000,05/12/2023
28,12000,06/12/2023
29,3000,06/12/2023
30,15000,06/12/2023
31,12000,06/12/2023
32,6000,06/12/2023
33,27000,06/12/2023
34,15000,06/12/2023
35,3000,06/12/2023
36,15000,06/12/2023
36,12000,06/12/2023
37,21000,06/12/2023
38,21000,06/12/2023
39,18000,06/12/2023
40,9000,06/12/2023
41,27000,06/12/2023
42,21000,06/12/2023
43,18000,06/12/2023
44,3000,06/12/2023
45,18000,06/12/2023
46,21000,06/12/2023
47,6000,06/12/2023
48,24000,06/12/2023
49,18000,06/12/2023
50,12000,06/12/2023
51,27000,06/12/2023
52,15000,06/12/2023
53,15000,05/12/2023
54,15000,05/12/2023
55,12000,05/12/2023
56,12000,05/12/2023
57,12000,05/12/2023
58,9000,05/12/2023
59,9000,05/12/2023
60,3000,05/12/2023
61,21000,05/12/2023
62,12000,05/12/2023
63,24000,05/12/2023
64,15000,05/12/2023
65,9000,05/12/2023
66,12000,05/12/2023
67,24000,05/12/2023
68,15000,05/12/2023
69,15000,05/12/2023
70,3000,05/12/2023
71,18000,05/12/2023
72,15000,05/12/2023
73,9000,05/12/2023
74,6000,05/12/2023
75,12000,05/12/2023
76,3000,05/12/2023
77,3000,05/12/2023
78,3000,05/12/2023
79,6000,05/12/2023
80,3000,05/12/2023
81,9000,05/12/2023
82,3000,05/12/2023
83,9000,05/12/2023
84,3000,05/12/2023
85,3000,05/12/2023
86,3000,05/12/2023
87,3000,05/12/2023
88,3000,05/12/2023
89,3000,05/12/2023
90,3000,05/12/2023
91,10000,05/12/2023
92,3000,05/12/2023
93,3000,05/12/2023
94,4000,05/12/2023
95,3000,05/12/2023
96,3000,05/12/2023
97,6000,05/12/2023
98,3000,05/12/2023
99,6000,05/12/2023
100,3000,05/12/2023
101,15000,05/12/2023
102,6000,05/12/2023
103,3000,05/12/2023
104,15000,05/12/2023
105,7000,05/12/2023
106,3000,05/12/2023
108,3000,05/12/2023
109,3000,05/12/2023
110,3000,05/12/2023
111,18000,05/12/2023
112,3000,05/12/2023
113,18000,05/12/2023
114,9000,05/12/2023
115,30000,05/12/2023
116,21000,05/12/2023
117,21000,05/12/2023
118,9000,05/12/2023
119,9000,05/12/2023
