N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
1,,5,5,5,,,,,,,,,,
2,,5,5,5,,,,,,,,,,
3,,5,5,5,,,,,,,,,,
4,,5,5,5,,,,,,,,,,
5,,5,5,5,,,,,,,,,,
6,,5,5,5,,,,,,,,,,
7,,5,5,5,,,,,,,,,,
8,,5,5,5,,,,,,,,,,
9,,5,5,5,,,,,,,,,,
10,,5,5,5,,,,,,,,,,
11,,5,5,5,,,,,,,,,,
12,,5,5,5,,,,,,,,,,
13,,5,5,5,,,,,,,,,,
14,,5,5,5,,,,,,,,,,
15,,5,5,5,,,,,,,,,,
16,,5,5,5,,,,,,,,,,
17,,5,5,5,,,,,,,,,,
18,,5,5,5,,,,,,,,,,
19,,5,5,5,,,,,,,,,,
20,,5,5,5,,,,,,,,,,
21,,5,13,4,,,,,,,,,,
22,,12,4,7,,,,,,,,,,
23,,12,4,7,,,,,,,,,,
24,,2,3,3,,,,,,,,,,
25,,2,4,4,,,,,,,,,,
26,,12,3,4,,,,,,,,,,
27,,10,4,5,,,,,,,,,,
28,,10,3,2,,,,,,,,,,
29,,12,13,2,,,,,,,,,,
30,,4,3,2,,,,,,,,,,
31,,3,8,7,,,,,,,,,,
32,,3,4,5,,,,,,,,,,
33,,3,3,5,,,,,,,,,,
34,,3,3,5,,,,,,,,,,
35,,5,4,5,,,,,,,,,,
36,,3,4,4,,,,,,,,,,
37,,5,13,5,,,,,,,,,,
38,,5,10,5,,,,,,,,,,
39,,8,4,4,,,,,,,,,,
40,,3,13,10,,,,,,,,,,
41,,2,13,5,,,,,,,,,,
42,,5,13,5,,,,,,,,,,
43,,12,12,5,,,,,,,,,,
44,,5,12,5,,,,,,,,,,
45,,10,12,2,,,,,,,,,,
46,,12,4,2,,,,,,,,,,
47,,12,4,0,,,,,,,,,,
48,,12,4,3,,,,,,,,,,
49,,13,6,5,,,,,,,,,,
50,,4,4,5,,,,,,,,,,
51,,5,8,,,,,,,,,,,
52,,14,4,5,,,,,,,,,,
53,,10,10,10,,,,,,,,,,
54,,5,5,10,,,,,,,,,,
55,,5,5,10,,,,,,,,,,
56,,3,13,10,,,,,,,,,,
57,,6,10,10,,,,,,,,,,
58,,5,5,10,,,,,,,,,,
59,,13,4,10,,,,,,,,,,
60,,3,10,10,,,,,,,,,,
61,,5,5,5,,,,,,,,,,
62,,5,5,5,,,,,,,,,,
63,,5,5,5,,,,,,,,,,
64,,5,5,5,,,,,,,,,,
65,,5,10,2,,,,,,,,,,
66,,5,5,2,,,,,,,,,,
67,,5,5,2,,,,,,,,,,
68,,4,5,2,,,,,,,,,,
69,,4,4,5,,,,,,,,,,
70,,10,3,2,,,,,,,,,,
71,,10,5,3,,,,,,,,,,
72,,7,5,2,,,,,,,,,,
73,,10,5,2,,,,,,,,,,
74,,10,20,2,,,,,,,,,,
75,,8,5,2,,,,,,,,,,
76,,8,5,2,,,,,,,,,,
77,,2,5,5,,,,,,,,,,
78,,17,5,5,,,,,,,,,,
79,,5,5,5,,,,,,,,,,
80,,7,5,5,,,,,,,,,,
81,,2,2,,,,,,,,,,,
82,,2,1,,,,,,,,,,,
83,,2,1,,,,,,,,,,,
84,,2,1,,,,,,,,,,,
85,,2,2,,,,,,,,,,,
86,,2,10,,,,,,,,,,,
87,,2,1,,,,,,,,,,,
88,,2,1,,,,,,,,,,,
89,,2,1,,,,,,,,,,,
90,,2,1,,,,,,,,,,,
91,,2,1,,,,,,,,,,,
92,,2,1,,,,,,,,,,,
93,,2,1,,,,,,,,,,,
94,,2,1,,,,,,,,,,,
95,,2,1,,,,,,,,,,,
96,,2,10,,,,,,,,,,,
97,,2,1,,,,,,,,,,,
98,,2,10,,,,,,,,,,,
99,,2,1,,,,,,,,,,,
100,,2,1,,,,,,,,,,,
101,,2,1,,,,,,,,,,,
102,,2,2,,,,,,,,,,,
103,,2,2,,,,,,,,,,,
104,,2,2,,,,,,,,,,,
105,,2,2,,,,,,,,,,,
106,,2,2,,,,,,,,,,,
107,,2,2,,,,,,,,,,,
108,,2,2,,,,,,,,,,,
109,,2,2,,,,,,,,,,,
110,,2,2,,,,,,,,,,,
111,,2,2,,,,,,,,,,,
112,,2,2,,,,,,,,,,,
113,,2,2,,,,,,,,,,,
114,,2,2,,,,,,,,,,,
115,,2,10,,,,,,,,,,,
116,,2,10,,,,,,,,,,,
